"","date","value","variable","Element","DL_ppb","variable_units","Class","mean_val","sd_val","CC_Q_cms"
"45",2016-01-12,122.9,"tdn","TDN",22.34,"tdn_ppb","biologic",127.985192951542,80.9170333410507,0.07
"46",2016-01-12,266.6215,"nitrate","NO3",0,"nitrate_µmol/L; µM","biologic",99.8970853313704,305.532332745331,0.07
"47",2016-01-12,6518,"dic","DIC",880,"dic_mg.L-1","biologic",5981.55285832643,2229.01823178239,0.07
"48",2016-01-12,1581.07,"chloride","Cl",0,"chloride_µmol/L; µM","geogenic",1754.96396792015,4952.69264560792,0.07
"49",2016-02-12,17.23533,"arsenic","As",0.0016,"arsenic_ppb","metal",2.17851519189655,1.74275908367189,0.1
"50",2016-02-12,0.15316,"lead","Pb",9e-04,"lead_ppb","metal",0.246531220384952,0.360535098164973,0.1
"51",2016-02-12,6518,"dic","DIC",880,"dic_mg.L-1","biologic",5981.55285832643,2229.01823178239,0.1
"52",2016-02-12,1.82453,"titanium","Ti",0.0528,"titanium_ppb","metal",1.96870738160538,3.38905149295846,0.1
"53",2016-02-12,0.34068,"cobalt","Co",0.001,"cobalt_ppb","metal",0.64699722978355,0.981677942194902,0.1
"54",2016-02-12,0.05672,"vanadium","V",7e-04,"vanadium_ppb","metal",0.116315020227671,0.104856162707508,0.1
"55",2016-02-12,0.03752,"uranium","U",2e-04,"uranium_ppb","metal",0.0435490727831431,0.0209224427371418,0.1
"56",2016-02-12,0.09951,"antimony","Sb",6e-04,"antimony_ppb","metal",6.71352163882476,48.2923894987101,0.1
"57",2016-02-12,154.57564,"strontium","Sr",0.0024,"strontium_ppb","geogenic",119.391933415862,42.8219341738138,0.1
"58",2016-02-12,2653.62406,"sodium","Na",0.1863,"sodium_ppb","geogenic",1957.0785582486,651.03708671126,0.1
"59",2016-02-12,150.85788,"boron","B",0.0339,"boron_ppb","biologic",7.65631551711799,19.2975928755378,0.1
"60",2016-02-12,941.8,"npoc","DOC",235.2,"npoc_mg.L-1","biologic",3364.63333333333,2664.31319030061,0.1
"61",2016-02-12,0.0236,"europium","Eu",1e-04,"europium_ppb","metal",0.0671169035555556,0.139720460973367,0.1
"62",2016-02-12,358.71103,"potassium","K",4.152,"potassium_ppb","geogenic",411.678640364319,115.974608142253,0.1
"63",2016-02-12,71.38236,"barium","Ba",0.0032,"barium_ppb","metal",22.1527885374138,14.1583157194702,0.1
"64",2016-02-12,120.84301,"zinc","Zn",0.011,"zinc_ppb","metal",267.609451606983,343.401190437413,0.1
"65",2016-02-12,0.83908,"nickel","Ni",0.0023,"nickel_ppb","metal",1.5492678821645,2.2169819111229,0.1
"66",2016-02-12,0.39144,"chromium","Cr",0.0069,"chromium_ppb","metal",1.89326571716814,5.33812349074157,0.1
"67",2016-02-12,13634.95423,"calcium","Ca",0.1895,"calcium_ppb","geogenic",12227.1606084498,7285.67896945351,0.1
"68",2016-02-12,0.36085,"cadmium","Cd",8e-04,"cadmium_ppb","metal",1.20641977974138,1.40707224884627,0.1
"69",2016-02-12,0.21232,"zirconium","Zr",0.0019,"zirconium_ppb","metal",0.122765371253287,0.155209951048526,0.1
"70",2016-02-12,68.93221,"iron","Fe",0.0103,"iron_ppb","metal",82.1681569871972,71.8199341160753,0.1
"71",2016-02-12,122.9,"tdn","TDN",22.34,"tdn_ppb","biologic",127.985192951542,80.9170333410507,0.1
"72",2016-02-12,0.79554,"rubidium","Rb",0.003,"rubidium_ppb","metal",0.628216557413793,0.214814044121174,0.1
"73",2016-02-12,0.02476,"beryllium","Be",0.0012,"beryllium_ppb","metal",0.063066387915937,0.0881572443524272,0.1
"74",2016-02-12,1799.65653,"magnesium","Mg",0.174,"magnesium_ppb","geogenic",1609.74440005303,565.675778582455,0.1
"75",2016-02-12,172.52612,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658,0.1
"76",2016-02-12,0.09992,"cesium","Cs",0.0013,"cesium_ppb","metal",0.0245871663326653,0.0281542956770968,0.1
"77",2016-02-12,0.0659,"thorium","Th",4e-04,"thorium_ppb","geogenic",0.0248216071843434,0.0480639765341118,0.1
"78",2016-02-12,4096.61286,"silicon","Si",0.2061,"silicon_ppb","geogenic",3349.83336236379,743.732729766777,0.1
"79",2016-02-12,0.68891,"copper","Cu",0.001,"copper_ppb","metal",3.10858353531469,6.74531348733409,0.1
"80",2016-02-12,3.03709,"lithium","Li",0.2823,"lithium_ppb","metal",2.52705807820513,2.23511811497604,0.1
"81",2016-02-12,216.01091,"phosphorus","P",1.4,"phosphorus_ppb","geogenic",210.174884224069,137.09677631628,0.1
"82",2016-02-12,0.15548,"selenium","Se",0.0041,"selenium_ppb","geogenic",0.387699967274678,2.73030157710443,0.1
"83",2016-02-12,0.03695,"silver","Ag",7e-04,"silver_ppb","metal",1.00061081040681,1.48525449539514,0.1
"84",2016-02-12,58.9523,"manganese","Mn",0.0048,"manganese_ppb","geogenic",58.4111708703448,55.9242276085023,0.1
"85",2016-02-12,0.01411,"germanium","Ge",0.0013,"germanium_ppb","metal",0.43912711744186,1.90100544416711,0.1
"86",2016-02-12,0.43092,"molybdenum","Mo",8e-04,"molybdenum_ppb","metal",1.67670747210425,33.6382551289439,0.1
"87",2016-02-18,929.4,"npoc","DOC",235.2,"npoc_mg.L-1","biologic",3364.63333333333,2664.31319030061,0.09
"88",2016-02-18,217.0175,"nitrate","NO3",0,"nitrate_µmol/L; µM","biologic",99.8970853313704,305.532332745331,0.09
"89",2016-02-18,18.00781,"arsenic","As",0.0016,"arsenic_ppb","metal",2.17851519189655,1.74275908367189,0.09
"90",2016-02-18,1.72699,"titanium","Ti",0.0528,"titanium_ppb","metal",1.96870738160538,3.38905149295846,0.09
"91",2016-02-18,6390,"dic","DIC",880,"dic_mg.L-1","biologic",5981.55285832643,2229.01823178239,0.09
"92",2016-02-18,0.00228,"tin","Sn",0.001,"tin_ppb","metal",18.4834566281642,46.5535541083943,0.09
